ticker,name,sector,industry,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,returnOnEquity,returnOnAssets,debtToEquity,revenueGrowth,earningsGrowth,dividendYield,payoutRatio,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,currency
PTBA,PT Bukit Asam (Persero) Tbk,Energy,Thermal Coal,26367877971968,24584180989952.0,7.899003,5.600254,1.1204559,0.14413999,0.05271,11.489,-0.003,1.047,5.0,1.1463,-0.407,3220.0,2170.0,IDR
ANTM,PT Antam (Persero) Tbk,Basic Materials,Gold,62720296615936,61323266228224.0,7.393349,18.417894,1.6145465,0.24687,0.108459994,21.609,0.121,0.599,8.11,0.42990002,0.717,4970.0,2450.0,IDR
ITMG,PT Indo Tambangraya Megah Tbk,Energy,Thermal Coal,24917995159552,24554801987584.0,7.758073,5.4310718,12994.186,0.093839996,0.064770006,4.237,0.031,-0.149,7.85,1.1162,-0.7,30700.0,20900.0,IDR
HRUM,PT Harum Energy Tbk,Energy,Thermal Coal,9269732704256,9205369012224.0,12.620837,4.0959797,9929.577,0.03585,0.02513,33.731,0.157,0.613,,0.0,0.084,1375.0,595.0,IDR
INDY,PT. Indika Energy Tbk,Energy,Thermal Coal,9364845887488,9469631135744.0,49.944504,5.4779515,7826.087,0.02249,0.02681,82.305,0.007,1.424,0.56,0.485,0.37,4370.0,1250.0,IDR
MEDC,PT Medco Energi Internasional Tbk,Energy,Oil & Gas E&P,26161459494912,25301060943872.0,9.646888,3.0792472,11910.112,0.06968,0.049790002,155.798,0.192,2.878,6.29,0.5325,0.109,2000.0,1005.0,IDR
PGAS,PT Perusahaan Gas Negara (Persero) Tbk,Utilities,Utilities - Regulated Gas,33089659076608,33090277736448.0,7.581649,6.7105846,11666.667,0.10092,0.05302,29.053,-0.038,0.458,9.2,1.1209999,0.1,2520.0,1350.0,IDR
ELSA,PT Elnusa Tbk,Energy,Oil & Gas Equipment & Services,3904697532416,881733992448.0,5.412241,10.786291,0.70967144,0.13618,0.04753,9.986,-0.03,0.016,8.52,0.3957,0.156,1050.0,460.0,IDR
SMMT,PT Golden Eagle Energy Tbk,Energy,Thermal Coal,6027999707136,5908141703168.0,121.46308,,176000.0,0.05607,0.021259999,81.081,-0.209,-0.659,,0.0,0.685,3230.0,830.0,IDR
TLKM,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,Telecom Services,240826835795968,283265877409792.0,14.832827,9.344721,1.7936825,0.14214,0.07377,44.115,0.015,-0.216,9.5,1.2924,0.103,3990.0,2350.0,IDR
EXCL,PT XLSMART Telecom Sejahtera Tbk,Communication Services,Telecom Services,43133677076480,101893258870784.0,,14.116385,1.4800844,-0.20136999,-0.010720001,209.04,0.374,,6.71,0.3827,-0.146,4550.0,2240.0,IDR
JSMR,PT Jasa Marga (Persero) Tbk,Industrials,Infrastructure Operations,19160780242944,115553679179776.0,5.466744,5.215639,0.5168152,0.07721,0.03926,118.716,-0.081,-0.165,5.76,0.32349998,0.148,4180.0,2530.0,IDR
ISAT,PT Indosat Ooredoo Hutchison Tbk,Communication Services,Telecom Services,57890203238400,108208697901056.0,10.1722765,9.006975,1.5309769,0.15026,0.058530003,133.421,0.121,0.138,6.42,0.475,-0.245,2600.0,1615.0,IDR
TOWR,PT Sarana Menara Nusantara Tbk.,Real Estate,Real Estate Services,20723324157952,65768955838464.0,5.1586723,4.990188,0.76831603,0.16016,0.060879998,162.985,0.108,0.0,3.79,0.24299999,-0.127,700.0,310.0,IDR
TBIG,PT Tower Bersama Infrastructure Tbk,Communication Services,Telecom Services,32194286321664,61191288258560.0,22.734524,18.972174,2.5589547,0.12106,0.059159998,221.158,-0.008,-0.059,3.32,0.379,-0.147,2950.0,1220.0,IDR
BALI,PT Bali Towerindo Sentra Tbk,Communication Services,Telecom Services,4819876052992,7921626251264.0,26.041666,,1.918457,0.07205,0.05486,133.236,0.005,0.061,2.5,1.0618,-0.283,2190.0,1060.0,IDR
ASII,PT Astra International Tbk,Industrials,Conglomerates,184293557010432,307585458634752.0,5.858977,5.9906754,0.791758,0.13245,0.04541,39.859,-0.056,-0.146,8.63,0.5172,-0.021,7475.0,4350.0,IDR
KBLM,PT Kabelindo Murni Tbk,Industrials,Electrical Equipment & Parts,324799987712,194469560320.0,93.18766,,0.22577582,0.01286,0.00708,,0.451,-0.284,2.45,,-0.037,476.0,260.0,IDR
BOLT,PT Garuda Metalindo Tbk,Industrials,Tools & Accessories,1769531113472,2144664289280.0,11.741835,,1.9069847,0.14893,0.08609,30.959,0.146,0.318,6.58,0.311,0.02,1285.0,755.0,IDR
INDS,PT Indospring Tbk,Consumer Cyclical,Auto Parts,1601249214464,2023182172160.0,29.04762,,0.4722751,0.0214,0.01878,8.32,0.097,,2.07,0.95239997,1.905,3410.0,206.0,IDR
GJTL,PT. Gajah Tunggal Tbk,Consumer Cyclical,Auto Parts,3832904417280,7803423948800.0,3.0148551,4.8034935,0.3534141,0.12292,0.054580003,48.59,-0.047,0.078,7.21,0.137,0.43,1265.0,925.0,IDR
CTRA,PT Ciputra Development Tbk,Real Estate,Real Estate - Development,10287310700544,12783855861760.0,4.081483,4.619995,0.41840217,0.102290004,0.049000002,28.661,-0.064,-0.215,4.14,0.1765,0.143,1110.0,510.0,IDR
PWON,PT Pakuwon Jati Tbk,Real Estate,Real Estate - Diversified,11558304350208,15953760878592.0,4.745897,4.884005,0.50593954,0.110240005,0.05153,20.976,0.058,0.293,5.42,0.2571,0.263,440.0,236.0,IDR
BSDE,PT Bumi Serpong Damai Tbk,Real Estate,Real Estate - Development,11293233774592,26299907178496.0,4.487286,3.419886,0.25773895,0.055430003,0.031159999,33.05,-0.123,-0.134,,0.0,,1200.0,520.0,IDR
LPKR,PT Lippo Karawaci Tbk,Healthcare,Medical Care Facilities,4323516350464,12916020477952.0,10.627178,22.761194,0.14513443,0.015149999,0.00816,32.191,-0.127,-0.368,,0.0,0.561,143.0,54.0,IDR
SMRA,PT Summarecon Agung Tbk,Real Estate,Real Estate - Development,4457313599488,19236340629504.0,6.2083235,4.753521,0.3764042,0.07928,0.043330003,87.736,0.061,-0.203,1.84,0.2069,0.379,488.0,254.0,IDR
TIFA,PT KDB Tifa Finance Tbk,Financial Services,Credit Services,781486850048,1254705725440.0,12.629162,,0.63911873,0.050580002,0.034590002,40.127,-0.076,-0.501,1.75,1.0327,0.003,730.0,212.0,IDR
BKSL,PT Sentul City Tbk,Real Estate,Real Estate - Development,9559407067136,12272557621248.0,11.067961,,0.62589216,0.05546,0.03255,23.388,0.293,40.152,,0.0,-0.087,193.0,52.0,IDR
LPCK,PT Lippo Cikarang Tbk,Real Estate,Real Estate - Development,2474918543360,2871713857536.0,45.687202,0.520142,0.36659932,0.02372,0.00952,11.792,-0.305,-0.711,,0.0,0.354,1165.0,422.0,IDR
SMGR,PT Semen Indonesia (Persero) Tbk,Basic Materials,Building Materials,9429762179072,19117121732608.0,41.22497,4.3528275,0.21654081,0.00438,0.0103400005,21.137,0.083,0.887,2.0,2.8298998,0.169,3260.0,1390.0,IDR
WTON,PT Wijaya Karya Beton Tbk,Basic Materials,Building Materials,601367183360,823099719680.0,15.065502,1.6235294,0.16569969,0.00115,0.009649999,11.304,-0.223,-0.056,0.67,0.16379999,0.293,124.0,59.0,IDR
WSKT,PT Waskita Karya (Persero) Tbk,,,5818974994432,,,3.7820632,-15.958287,,,,,,,,,202.0,202.0,IDR
WSBP,PT Waskita Beton Precast Tbk,Basic Materials,Building Materials,797428285440,4327913816064.0,,,-0.364185,,-0.041739997,,0.001,,,0.0,-0.008,39.0,11.0,IDR
TKIM,PT Pabrik Kertas Tjiwi Kimia Tbk,Basic Materials,Paper & Paper Products,16733577412608,16811863048192.0,3.5920982,2.687446,5518.4805,0.08911,0.01016,25.016,0.025,-0.172,0.56,0.0185,0.373,11300.0,4400.0,IDR
INKP,PT Indah Kiat Pulp & Paper Tbk,Basic Materials,Paper & Paper Products,38296881201152,38708581498880.0,4.532299,4.611999,5473.0254,0.06929,0.03674,68.492,0.043,0.114,1.06,0.0359,0.284,12750.0,5325.0,IDR
INRU,PT Toba Pulp Lestari Tbk,Basic Materials,Paper & Paper Products,819441172480,819785236480.0,Infinity,,42142.855,-1.64614,-0.01929,4196.38,-0.403,,,,0.234,1075.0,590.0,IDR
TINS,PT TIMAH Tbk,Basic Materials,Other Industrial Metals & Mining,24726539862016,22302892752896.0,9.171524,17.768263,2.483216,0.30662,0.16028999,11.26,1.605,11.842,2.7,0.176,0.846,4720.0,985.0,IDR
BRMS,PT Bumi Resources Minerals Tbk,Basic Materials,Other Industrial Metals & Mining,67489203486720,67205584650240.0,71.257484,32.233643,52888.89,0.05144,0.04602,24.526,0.097,0.176,,0.0,0.708,1385.0,388.0,IDR
KLBF,PT Kalbe Farma Tbk.,Healthcare,Drug Manufacturers - General,34615377002496,31811910500352.0,9.59729,10.225906,1.4246607,0.1443,0.090220004,1.187,0.101,-0.035,2.61,0.4518,-0.043,1595.0,630.0,IDR
KAEF,PT Kimia Farma Tbk,Healthcare,Medical Distribution,2337967439872,8940561629184.0,,,0.7898211,-0.061539996,-0.0017200001,249.365,-0.063,,,0.0,1.065,785.0,380.0,IDR
DVLA,PT Darya-Varia Laboratoria Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,1691199995904,1241100320768.0,12.07517,,1.1023675,0.09178001,0.046869997,0.011,0.093,-0.299,8.39,0.864,-0.103,1715.0,1450.0,IDR
TSPC,PT Tempo Scan Pacific Tbk,Industrials,Conglomerates,11184463937536,7808682557440.0,8.291819,,1.1719912,0.14207,0.07564,11.214,0.042,-0.143,6.05,0.6689,0.189,3220.0,2120.0,IDR
SIDO,PT Industri Jamu dan Farmasi Sido Muncul Tbk,Consumer Defensive,Packaged Foods,10773282684928,10181493653504.0,9.469599,9.129458,3.30698,0.32823002,0.23064,0.049,-0.188,-0.35,9.95,1.1128,-0.051,585.0,350.0,IDR
MERK,PT Merck Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,1639680049152,1188282499072.0,5.546463,,1.575262,0.31792,0.20817,1.789,0.316,3.94,7.64,0.2576,0.167,4500.0,2720.0,IDR
PYFA,PT Pyridam Farma Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,2090035314688,7182900789248.0,,,2.9052057,-0.38741,-0.0152,539.737,0.118,,,0.0,0.676,700.0,158.0,IDR
MTDL,PT Metrodata Electronics Tbk,Technology,Electronics & Computer Distribution,6199826710528,8756830666752.0,7.651515,7.769231,1.2727488,0.18726,0.07022,33.353,0.214,0.034,5.35,0.36360002,0.094,685.0,484.0,IDR
MLPT,PT Multipolar Technology Tbk,Technology,Information Technology Services,31875001221120,31842430353408.0,105.14597,,40.65692,0.39580002,0.06166,30.366,0.064,-0.532,0.78,0.8665,1.246,257875.0,12000.0,IDR
POWR,PT Cikarang Listrindo Tbk,Utilities,Utilities - Independent Power Producers,11096050106368,11175327694848.0,8.450025,8.631319,15217.392,0.09977999,0.044120003,47.101,-0.054,0.035,10.46,0.9239,0.039,790.0,670.0,IDR
EMTK,PT Elang Mahkota Teknologi Tbk,Communication Services,Broadcasting,29489966874624,21360359243776.0,10.43968,73.36377,0.7993645,0.09003,0.0118700005,4.509,0.476,,2.06,0.8232,0.25,1700.0,470.0,IDR
BUKA,PT Bukalapak.com Tbk.,Consumer Cyclical,Internet Retail,9216030932992,-10233510363136.0,3.8565369,23.041473,0.37227586,0.10815,-0.065630004,0.456,0.627,,,0.0,0.259,198.0,94.0,IDR
GOTO,PT GoTo Gojek Tokopedia Tbk,Technology,Software - Infrastructure,53100509396992,34780695494656.0,,-9.398496,1.6553551,-0.03291,0.00322,27.754,0.263,,,0.0,0.469,73.0,50.0,IDR
LPKR,PT Lippo Karawaci Tbk,Healthcare,Medical Care Facilities,4323516350464,12916020477952.0,10.627178,22.761194,0.14513443,0.015149999,0.00816,32.191,-0.127,-0.368,,0.0,0.561,143.0,54.0,IDR
BSDE,PT Bumi Serpong Damai Tbk,Real Estate,Real Estate - Development,11293233774592,26299907178496.0,4.487286,3.419886,0.25773895,0.055430003,0.031159999,33.05,-0.123,-0.134,,0.0,,1200.0,520.0,IDR
CTRA,PT Ciputra Development Tbk,Real Estate,Real Estate - Development,10287310700544,12783855861760.0,4.081483,4.619995,0.41840217,0.102290004,0.049000002,28.661,-0.064,-0.215,4.14,0.1765,0.143,1110.0,510.0,IDR
ADHI,PT Adhi Karya (Persero) Tbk,Industrials,Engineering & Construction,1261141360640,9343310233600.0,,0.65254277,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,,0.0,0.273,318.0,130.0,IDR
PTPP,PT PP (Persero) Tbk,Industrials,Engineering & Construction,1070064074752,20242010996736.0,,3.2096474,0.3332338,-0.82073,-0.09521,464.341,-0.192,-0.167,,0.0,0.147,448.0,168.0,IDR
WIKA,PT Wijaya Karya (Persero) Tbk,Industrials,Engineering & Construction,8133880578048,42358091546624.0,,-1.5235251,1.4378653,-1.8133299,-0.060850002,6422.033,-0.163,,,0.0,0.132,208.0,199.0,IDR
TOTL,PT Total Bangun Persada Tbk,Industrials,Engineering & Construction,3529349791744,1781173452800.0,7.975649,14.213128,2.4572825,0.32836,0.05435,0.415,-0.011,0.373,10.73,0.5778,0.262,1290.0,645.0,IDR
ACST,PT Acset Indonusa Tbk,Industrials,Engineering & Construction,1343312101376,2788015210496.0,,,-3.6382785,,-0.124189995,,-0.347,,,0.0,0.031,204.0,69.0,IDR
